hostName,groupSizeCar,parRich,logNumHostCitations,combIUCN,logHostSpeciesRange,logHostMass,logNumHostCitations_c,logHostSpeciesRange_c,logHostMass_c
Acinonyx_jubatus,non_group,13,2.3978952727983707,threatened,9.267316652564212,3.8437441646748516,0.6672337591789435,0.5663118982994337,2.0951417963172823
Ailuropoda_melanoleuca,non_group,1,0,threatened,3.5892524703038706,4.685828089005546,-1.7306615136194272,-5.111752283960907,2.9372257206479766
Arctictis_binturong,non_group,1,0,threatened,7.977227077903829,2.2900063107871858,-1.7306615136194272,-0.7237776763609487,0.5414039424296166
Bassariscus_astutus,non_group,3,0,not_threatened,8.272844389589652,0.12177505692592086,-1.7306615136194272,-0.42816036467512575,-1.6268273114316483
Canis_adustus,non_group,6,1.6094379124341003,not_threatened,9.266854250370002,2.3272679494392654,-0.12122360118532693,0.5658494961052245,0.5786655810816963
Canis_aureus,non_group,30,2.5649493574615367,not_threatened,10.1557831049129,2.3365226440217426,0.8342878438421095,1.4547783506481213,0.5879202756641735
Canis_latrans,non_group,83,4.2626798770413155,not_threatened,9.74678075863099,2.595724745725065,2.532018363421888,1.0457760043662123,0.8471223773674958
Canis_lupus,group,72,4.0943445622221,not_threatened,10.835719367493052,3.4714476844730964,2.363683048602673,2.134714613228274,1.7228453161155273
Canis_mesomelas,non_group,6,2.0794415416798357,not_threatened,8.740141523676447,2.1400661634962708,0.34878002806040853,0.03913676941166955,0.39146379513870166
Canis_simensis,group,4,1.3862943611198906,threatened,2.4338764786752214,2.302585092994046,-0.34436715249953664,-6.267128275589556,0.5539827246364768
Caracal_caracal,non_group,6,0,not_threatened,10.189008428784895,2.621031551358861,-1.7306615136194272,1.488003674520117,0.872429183001292
Catopuma_temminckii,non_group,2,0,not_threatened,8.142437776418637,2.4423470353692043,-1.7306615136194272,-0.5585669778461408,0.6937446670116352
Cerdocyon_thous,non_group,25,2.995732273553991,not_threatened,8.86667796794355,1.6563214983329508,1.2650707599345636,0.1656732136787724,-0.09228087002461827
Chrotogale_owstoni,non_group,1,0,threatened,3.327909585892323,1.1786549963416462,-1.7306615136194272,-5.373095168372455,-0.5699473720159229
Chrysocyon_brachyurus,non_group,20,1.0986122886681098,not_threatened,8.52492343593808,3.146296529845829,-0.6320492249513174,-0.17608131832669827,1.3976941614882599
Civettictis_civetta,non_group,1,0,not_threatened,9.561537872071323,2.4849066497880004,-1.7306615136194272,0.8605331178065452,0.7363042814304313
Conepatus_chinga,non_group,2,1.3862943611198906,not_threatened,8.085580700552534,0.6510222542592742,-0.34436715249953664,-0.6154240537122444,-1.097580114098295
Conepatus_leuconotus,non_group,8,0,not_threatened,7.827862319478111,1.252762968495368,-1.7306615136194272,-0.8731424347866668,-0.49583939986220105
Crocuta_crocuta,group,12,2.5649493574615367,not_threatened,9.601716697641246,4.143133139088686,0.8342878438421095,0.9007119433764679,2.3945307707311168
Cuon_alpinus,group,3,0,threatened,9.263528185628273,2.546315277916644,-1.7306615136194272,0.5625234313634948,0.7977129095590747
Cynictis_penicillata,group,11,1.0986122886681098,not_threatened,7.711382000603876,-0.17912666589743548,-0.6320492249513174,-0.9896227536609024,-1.9277290342550046
Eira_barbara,non_group,1,0,not_threatened,9.503889300720958,1.3635373739972745,-1.7306615136194272,0.8028845464561805,-0.3850649943602946
Felis_silvestris,non_group,36,3.044522437723423,not_threatened,10.376953275563036,1.7047480922384253,1.3138609241039958,1.6759485212982579,-0.04385427611914383
Galictis_cuja,non_group,3,1.0986122886681098,not_threatened,8.426155830107605,0,-0.6320492249513174,-0.27484892415717255,-1.748602368357569
Galictis_vittata,non_group,2,0.6931471805599453,not_threatened,9.218154660738684,1.1631508098056809,-1.037514333059482,0.5171499064739056,-0.5854515585518882
Genetta_tigrina,non_group,1,0,not_threatened,6.375894969247288,0.7997569156182036,-1.7306615136194272,-2.3251097850174895,-0.9488454527393655
Gulo_gulo,non_group,6,1.3862943611198906,not_threatened,10.106263158391952,2.8339542459911686,-0.34436715249953664,1.4052584041271743,1.0853518776335995
Herpestes_ichneumon,group,19,2.302585092994046,not_threatened,9.576998814534859,1.6438393391514328,0.5719235793746187,0.8759940602700809,-0.10476302920613634
Herpestes_javanicus,non_group,5,0,not_threatened,8.836417243942856,-0.2876820724517809,-1.7306615136194272,0.13541248967807817,-2.03628444080935
Hyaena_hyaena,group,4,1.0986122886681098,not_threatened,10.096350973113937,3.73062342348473,-0.6320492249513174,1.3953462188491592,1.9820210551271609
Leopardus_pardalis,non_group,28,2.0794415416798357,not_threatened,9.682842377678737,2.47654680344352,0.34878002806040853,0.9818376234139592,0.727944435085951
Leptailurus_serval,non_group,2,0.6931471805599453,not_threatened,9.435577490248928,2.4849066497880004,-1.037514333059482,0.7345727359841501,0.7363042814304313
Lontra_canadensis,non_group,13,2.302585092994046,not_threatened,9.383202411614885,2.090307294990142,0.5719235793746187,0.6821976573501072,0.3417049266325727
Lutra_lutra,non_group,51,2.9444389791664403,not_threatened,10.17287391197587,2.173057104613546,1.213777465547013,1.471869157711092,0.42445473625597674
Lycaon_pictus,group,10,2.6390573296152584,threatened,9.262902081584919,3.0933171370299632,0.9083958159958312,0.5618973273201409,1.3447147686723941
Lynx_canadensis,non_group,21,1.3862943611198906,not_threatened,9.01833023207013,2.237854553422115,-0.34436715249953664,0.3173254778053529,0.4892521850645457
Lynx_lynx,non_group,27,2.5649493574615367,not_threatened,10.078600984773445,2.8875901149342877,0.8342878438421095,1.3775962305086669,1.1389877465767186
Lynx_pardinus,non_group,46,3.091042453358316,threatened,3.298019667144789,2.2407096892759584,1.3603809397388889,-5.402985087119989,0.49210732091838927
Lynx_rufus,non_group,51,3.367295829986474,not_threatened,9.180142264422539,2.186511844817635,1.636634316367047,0.47913751015776107,0.4379094764600657
Martes_americana,non_group,14,1.791759469228055,not_threatened,8.938554220604422,0.22314355131420976,0.06109795560862774,0.2375494663396438,-1.5254588170433594
Martes_foina,non_group,36,3.2188758248682006,not_threatened,8.855239046393235,0.43230176206172405,1.4882143112487733,0.15423429212845718,-1.316300606295845
Martes_martes,non_group,29,2.4849066497880004,not_threatened,9.031385581259515,0.26236426446749106,0.7542451361685731,0.3303808269947375,-1.486238103890078
Martes_pennanti,non_group,7,1.3862943611198906,not_threatened,8.15511050912471,1.3862943611198906,-0.34436715249953664,-0.5458942451400688,-0.36230800723767853
Meles_meles,group,46,4.07753744390572,not_threatened,10.195637889907148,2.5649493574615367,2.3468759302862923,1.4946331356423705,0.8163469891039676
Mephitis_macroura,non_group,1,0,not_threatened,7.491022859296803,-0.2215198701981123,-1.7306615136194272,-1.2099818949679753,-1.9701222385556814
Mephitis_mephitis,non_group,39,3.6375861597263857,not_threatened,9.415510484408562,0.7347688552507647,1.9069246461069584,0.7145057301437845,-1.0138335131068044
Mungos_mungo,group,1,0,not_threatened,9.673731876727773,0.6549259677397475,-1.7306615136194272,0.9727271224629952,-1.0936764006178215
Mustela_erminea,non_group,32,2.833213344056216,not_threatened,10.589532018432667,-2.1252760780236355,1.102551830436789,1.8885272641678892,-3.8738784463812044
Mustela_frenata,non_group,5,1.0986122886681098,not_threatened,9.416615976005323,-1.9173226922034008,-0.6320492249513174,0.715611221740545,-3.66592506056097
Mustela_lutreola,non_group,16,1.3862943611198906,threatened,8.18002811483684,-0.8209805520698302,-0.34436715249953664,-0.5209766394279374,-2.569582920427399
Mustela_nivalis,non_group,24,1.9459101490553132,not_threatened,10.685013079523781,-1.984131361875511,0.21524863543588602,1.984008325259003,-3.73273373023308
Mustela_putorius,non_group,46,2.9444389791664403,not_threatened,8.931359137214724,-0.08839415076259535,1.213777465547013,0.2303543829499457,-1.8369965191201645
Mustela_sibirica,non_group,1,0,not_threatened,9.930220326483754,-0.9038682118755978,-1.7306615136194272,1.2292155722189761,-2.652470580233167
Nandinia_binotata,non_group,2,0.6931471805599453,not_threatened,8.695687266070017,0.6931471805599453,-1.037514333059482,-0.0053174881947608554,-1.055455187797624
Nasua_narica,group,2,0,not_threatened,7.753250086274194,1.3937663759585917,-1.7306615136194272,-0.9477546679905835,-0.35483599239897745
Nasua_nasua,group,10,1.791759469228055,not_threatened,9.277530686499706,1.3333681553104855,0.06109795560862774,0.5765259322349277,-0.41523421304708363
Nyctereutes_procyonoides,non_group,59,3.332204510175204,not_threatened,8.810526614859532,1.3962446919730587,1.6015429965557766,0.10952186059475366,-0.35235767638451043
Otocyon_megalotis,non_group,2,1.0986122886681098,not_threatened,8.517557724965808,1.423108334242607,-0.6320492249513174,-0.1834470292989696,-0.32549403411496214
Paguma_larvata,non_group,2,1.3862943611198906,not_threatened,8.598352075932572,1.4586150226995167,-0.34436715249953664,-0.10265267833220548,-0.2899873456580524
Panthera_leo,group,32,3.4657359027997265,threatened,9.32702814138074,5.084499569891765,1.7350743891802993,0.6260233871159624,3.3358972015341957
Panthera_onca,non_group,14,1.6094379124341003,not_threatened,9.259209104487613,4.605170185988092,-0.12122360118532693,0.5582043502228355,2.8565678176305225
Panthera_pardus,non_group,8,2.1972245773362196,threatened,10.287000158021371,4.007327730672141,0.46656306371679235,1.585995403756593,2.2587253623145713
Prionailurus_bengalensis,non_group,2,0,not_threatened,9.230341901058718,1.1939224684724346,-1.7306615136194272,0.5293371467939405,-0.5546798998851346
Procyon_lotor,non_group,160,4.812184355372417,not_threatened,9.36762151820506,1.8794650496471605,3.0815228417529896,0.6666167639402829,0.13086268128959144
Puma_concolor,non_group,64,3.7376696182833684,not_threatened,10.014620033307622,3.9435216724875173,2.0070081046639414,1.3136152790428444,2.1949193041299484
Speothos_venaticus,group,2,0,not_threatened,9.180289946907937,1.791759469228055,-1.7306615136194272,0.47928519264315916,0.043157100870485854
Suricata_suricatta,group,2,1.0986122886681098,not_threatened,7.45051435899391,-0.3208942066578945,-0.6320492249513174,-1.2504903952708677,-2.0694965750154637
Taxidea_taxus,non_group,9,2.0794415416798357,not_threatened,9.089366714194169,1.9611646340887827,0.34878002806040853,0.3883619599293908,0.21256226573121362
Urocyon_cinereoargenteus,non_group,52,3.295836866004329,not_threatened,9.106143734305084,1.3438303943006302,1.565175352384902,0.4051389800403058,-0.4047719740569389
Urocyon_littoralis,non_group,16,1.9459101490553132,not_threatened,-0.6694306539426292,0.63974640383283,0.21524863543588602,-9.370435408207408,-1.1088559645247391
Ursus_americanus,non_group,46,3.6635616461296463,not_threatened,9.174727909250674,4.6046640579268905,1.932900132510219,0.4737231549858958,2.856061689569321
Ursus_arctos,non_group,19,2.6390573296152584,not_threatened,10.084655152110814,5.195843790777307,0.9083958159958312,1.3836503978460364,3.4472414224197374
Ursus_thibetanus,non_group,5,1.0986122886681098,threatened,8.584609754514986,4.350277936359301,-0.6320492249513174,-0.11639499974979195,2.601675568001732
Viverra_zibetha,non_group,1,0,not_threatened,8.309973184848891,2.2512917986064953,-1.7306615136194272,-0.3910315694158868,0.5026894302489262
Vulpes_corsac,group,2,0.6931471805599453,not_threatened,8.76067193407157,0.8754687373538999,-1.037514333059482,0.0596671798067927,-0.8731336310036693
Vulpes_velox,non_group,22,2.302585092994046,not_threatened,7.808795917036038,0.787320350577195,0.5719235793746187,-0.8922088372287398,-0.9612820177803741
Vulpes_vulpes,non_group,142,5.2832037287379885,not_threatened,11.051431001865817,1.671134900237015,3.552542215118561,2.350426247601039,-0.07746746812055405
